Level Name,Creator,Song,ID,Tier,Enjoyment
Clubstep,RobTop,Clubstep,1,2.82,6.57
Theory of Everything 2,RobTop,Theory of Everything 2,2,3.00,7.18
Deadlocked,RobTop,Deadlocked,3,4.82,7.13
demon park,M2coL,Time Machine,10109,2.84,5.61
To the Grave,-,Time Machine,12556,3.93,5.30
The Nightmare,Jax,Polargeist,13519,1.00,5.81
THE LIGHTNING ROAD,timeless real,Dry Out,55520,1.00,4.90
Extreme Park,Rabbitical,Jumper,56287,6.89,6.52
Super Cycles,Jax,Cycles,57730,1.86,5.31
yStep,TheRealDarnoc,xStep,70059,1.77,5.31
OFFline,Spawn,xStep,72282,1.88,5.14
demon world,superhexagon,xStep,72540,8.10,4.34
hell and heaven,PIS,Dry Out,74449,4.63,6.02
Crazy,-,Can't Let Go,74482,1.60,4.24
Parallel World,Rabbitical,Polargeist,79939,2.76,5.82
69 machine,-,Stereo Madness,83434,1.93,5.81
FINAL DESTINATION,-,Time Machine,91402,6.70,5.59
Red sun,mrlee,Time Machine,99361,5.03,4.77
Silent Hill,MaJackO,Silent Hill (Dubstep),99719,8.19,5.40
x Zone,Rabbitical,xStep,100091,4.70,6.14
Hextec Flow,TheRealDarnoc,Jumper,102765,1.75,5.96
black off,Vlacc,Dry Out,109927,9.84,6.56
XYZ step,Coke,xStep,110067,1.01,5.70
demon of python,Tagging,xStep,111010,5.73,5.60
TM Super Hard Mix,-,Time Machine,112849,2.18,5.37
Death Cycles,DemonBestGG,Cycles,113790,3.20,5.74
dark hell,Partition,xStep,116474,4.81,5.71
X mas Party,-,Jumper,116631,6.13,4.45
Bicycle,Back,Cycles,120432,8.23,6.31
the extreme maze,Tagging,Base After Base,121377,6.11,5.97
Clutterfunk V2,DemonBestGG,Clutterfunk,123247,3.66,5.14
ClutterFactory,-,Clutterfunk,124354,1.96,5.85
robtop,-,Clutterfunk,125283,2.82,4.45
cycles castle,-,Cycles,128930,3.93,4.31
Beautiful Chaos,-,Clutterfunk,130414,4.58,4.08
Cathedral,PIS,Clutterfunk,131552,5.08,6.23
hard core,tunar98,Cycles,134458,5.96,5.65
Extreme Fantasy,Rabbitical,Clutterfunk,135561,3.70,4.07
Lightning world,-,Clutterfunk,141457,1.06,5.05
psychic escape,M2coL,Clutterfunk,142596,3.08,5.39
The Ambitious Trip,-,Clutterfunk,144503,7.17,4.81
Twinkle,Hiroquet,Can't Let Go,149377,2.70,5.35
Bad touch,-,Cycles,149635,2.67,5.53
Fake Factory,The Carrot,Clutterfunk,151076,6.20,5.10
ICE Carbon Zust,TheRealZust,Cycles,151941,17.74,3.35
SIMG Factorial 4,LunarSimg,Cycles,152040,10.49,5.98
demons dry out,-,Dry Out,153697,8.91,5.47
caution,pg1004,Back on Track,154754,3.67,4.62
Maximum Risk,FunnyGame,Time Machine,156473,1.65,6.39
Club of rome,-,xStep,157845,2.86,5.11
demon road,VeryInactive,Dry Out,158646,6.00,4.57
Is 1st hell gate 1,dhk2725,Stereo Madness,160166,4.87,5.97
Katapult,MasK463,xStep,162204,3.30,5.79
Code Name Factory,ruined,Clutterfunk,164422,7.44,6.25
dizzy,pg1004,Clutterfunk,165155,7.85,4.47
Operation,Jax,Can't Let Go,166421,1.86,6.04
Dark Tramuia,TheRealDarnoc,Clutterfunk,167178,2.60,5.63
Extreme way,BEkID1442,Clutterfunk,169052,7.86,4.89
eacker hacker V2,-,Cycles,169862,2.98,5.88
swiftness,zaRIKU,Time Machine,171334,15.39,4.77
Distant Stars,PIS,Polargeist,173009,2.86,5.49
Dimensional,MasK463,Polargeist,173966,2.23,5.67
Architecture,Rabb2t,Clutterfunk,175491,8.56,5.92
Cycles v2 S,-,Cycles,179906,6.35,3.08
X Park,DemonBestGG,xStep,179964,6.00,5.89
Definite Integral,Rabbitical,Jumper,180857,9.88,6.34
torrential,pg1004,Jumper,183427,10.69,5.63
Ruined Planet,-,Time Machine,184880,3.05,3.38
Equinox,Magic Square,Jumper,184981,2.18,3.88
Crescendo,MasK463,Theory of Everything,186646,1.80,4.88
wayless,BEkID1442,Theory of Everything,188337,2.71,5.22
hard of everything,iILoBeeIi,Theory of Everything,189290,4.20,4.47
Time Adventure,-,Time Machine,189521,9.52,4.75
Legend of Andromeda,-,xStep,190003,4.01,4.31
Demon machine,-,Time Machine,193345,11.18,4.84
HelQus,-,Theory of Everything,193368,3.45,5.94
D of Eything,-,Theory of Everything,194073,2.16,5.55
dorabae choose way4,DORABAE,Theory of Everything,195070,7.89,4.02
back of everything,mystery,Back on Track,199557,4.66,5.78
demon jumper,-,Jumper,199761,1.06,4.84
Theory of something,Lyod,Theory of Everything,200868,2.80,5.37
RAINBOW final,ZelLink,Theory of Everything,204054,6.15,5.17
destiny of birth,BurstStar,Can't Let Go,204204,2.89,5.44
allure of choice,pg1004,Base After Base,210122,3.84,5.33
The Last Showdown,MasK463,Clutterfunk,212857,1.69,6.17
demon step,elemelon,xStep,213862,1.03,5.33
Sky Realm,TheRealDarnoc,Time Machine,214523,2.11,4.97
SpArTa,-,Clutterfunk,214563,2.31,3.64
Hardcore flight,PMCreatorArco,xStep,215619,3.86,6.71
Dawn of Darkness,MidNight2,Time Machine,215832,9.51,3.00
Demon Park 2,-,Polargeist,216526,3.23,4.79
All small,Tremendousdash,xStep,217541,5.96,5.83
Horror maze,-,Theory of Everything,218652,10.33,4.64
HARD DEMON,-,Theory of Everything,218690,2.20,5.05
Theory of Jumping,-,Theory of Everything,220369,4.58,5.50
Lucky dice V 1,-,Theory of Everything,223646,1.88,5.01
Mad palace,-,Theory of Everything,226632,6.47,5.85
lightning zone,mystery,xStep,227173,4.25,5.45
SIMG Factorial 5,LunarSimg,Time Machine,227407,11.52,5.45
Extreme super world,-,Clutterfunk,230791,6.22,6.35
Theory Park,DemonBestGG,Theory of Everything,230798,3.89,4.95
Clustery,-,Time Machine,231205,4.76,4.83
days of everything,-,Theory of Everything,235610,7.82,3.94
SHADOW,-,Time Machine,236248,4.85,4.62
Surrealism,MasK463,Theory of Everything,239006,2.11,5.46
foxtail socks,Lightbulbb,Theory of Everything,241950,9.24,6.37
cycle of everything,iILoBeeIi,Cycles,245244,4.63,5.38
Doctor killer,-,Theory of Everything,247138,4.78,5.93
Super Of Everything,-,Theory of Everything,249090,14.03,4.43
SUMMER seasons,ZelLink,Dry Out,249100,5.20,5.00
Armageddon,PIS,Theory of Everything,249302,7.11,5.62
zirokabi,zaRIKU,Bossfight - Milky Ways,249473,14.90,7.28
the pulse,Experience D,Theory of Everything,249777,1.91,5.61
demon cycles,-,Cycles,252772,3.66,5.50
Pink Biscuit,tunar98,Clutterfunk,253904,7.62,5.44
SIMG Factorial EX,LunarSimg,Theory of Everything,254873,9.46,5.09
Black Park,-,Theory of Everything,260489,1.81,5.51
Stereo Demoness,MaJackO,Stereo Madness,260693,15.69,5.23
Atrocities Area,Experience D,Base After Base,262161,1.79,5.75
horror machine,The Carrot,Time Machine,263287,6.96,4.69
deluxeedition,JiJangs,Theory of Everything,267443,9.21,6.10
The Antarctic Man,Hiroquet,Polargeist,267746,7.67,6.65
hacker fly,-,Polargeist,270128,6.81,4.57
Pressure,TrueNature,Theory of Everything,270479,3.60,4.79
Paranormal,ZenthicAlpha,Theory of Everything,277142,9.85,6.57
Decrescendo,titanium,Theory of Everything,277503,5.09,4.73
Forgot Castle,Myinus,Base After Base,281499,7.38,6.17
night jumper V2,-,Clutterfunk,281652,3.11,5.76
FALL seasons,ZelLink,Back on Track,282065,4.16,4.71
bizarre milestone,pg1004,Time Machine,284555,10.23,6.18
BIOhazard,tunar98,xStep,286279,5.24,7.13
The First Miracle,-,Theory of Everything,292418,8.12,4.85
SIMG Factorial 6,LunarSimg,Clutterfunk,295984,10.93,5.62
Demon Sunrise,-,Time Machine,296176,11.00,5.88
nothing world,ThisIsPailyn,Can't Let Go,300866,3.32,4.76
demon forest,-,Theory of Everything,305550,1.07,4.79
Demon Park Remix,-,Clutterfunk,307217,2.57,5.37
Blown in Knight,-,Theory of Everything,307887,5.63,5.64
StarQuake,MasK463,Stereo Madness,308891,4.95,3.97
From Dusk Till Dawn,titanium,Theory of Everything,313526,2.05,4.76
ddays,ThisIsPailyn,Theory of Everything,316982,2.08,5.13
ice cave,-,Cycles,318864,1.01,5.29
Red Root,Myinus,{dj-N} Beginning of Time {RmX},320589,2.96,5.32
HazardSector 1,ZenthicAlpha,Clutterfunk,330157,15.10,4.41
rapid lightning,Experience D,Clutterfunk,332723,1.21,5.14
Xstep v2,IIINePtunEIII,xStep,341613,1.72,5.78
absolute  zero,BEkID1442,xStep,350329,2.87,4.97
promptness star,Experience D,Polargeist,356198,1.68,5.76
Hazardsector 2,ZenthicAlpha,Polargeist,358049,7.21,5.93
Stardust,BlackP2sFull,Polargeist,358365,5.50,5.64
Clutterfunk v2,IIINePtunEIII,Clutterfunk,358750,2.67,5.68
galaxy power,iILoBeeIi,Jumper,362829,4.24,6.06
Mr Mr,Hiroquet,Electroman Adventures,369214,9.43,6.53
Theory of every v2,IIINePtunEIII,Theory of Everything,369294,2.03,5.61
Back on Mountain,MaJackO,Back on Track,369759,13.56,4.18
Blood prophecy,-,Theory of Everything,370328,4.92,4.06
EleCtRoFacTOrY,T3KU,Clutterfunk,376998,3.96,5.78
Requiem,FunnyGame,Cycles,379772,2.05,5.86
Fatal,TrueNature,xStep,379959,5.52,4.89
Apocalypse Eve,MasK463,Time Machine,380082,2.27,4.52
Element 54 Xe,Myinus,Back on Track,381594,3.86,4.84
Impulse,MrCheeseTigrr,Theory of Everything,393159,1.80,4.95
cyber paradise,tunar98,Time Machine,396874,3.02,5.09
THE DEMON RUSH,-,Dry Out,398923,3.84,4.74
HazardSector X,ZenthicAlpha,xStep,400123,13.48,4.25
i  specialjumper  i,GGtime,Jumper,405465,5.90,5.96
SIMG Factorial 7,LunarSimg,Back on Track,412557,7.65,6.53
Crazy Bolt,FunnyGame,Clutterfunk,413504,2.18,6.15
xStep Advance,T3KU,xStep,418434,2.04,5.78
Electroman Adven v2,IIINePtunEIII,Electroman Adventures,428765,1.90,6.33
the end gate,ThisIsPailyn,Electroman Adventures,429412,2.72,5.11
Gw Luxemburg,ElEcmEtAl,Theory of Everything,429491,2.61,5.51
honor step,Experience D,Clubstep,434901,1.67,5.81
Electro rand,-,Electroman Adventures,436624,1.80,5.38
IceStream,-,Clubstep,440927,1.77,6.11
HazardSector 4,ZenthicAlpha,Clubstep,449431,10.86,5.00
Ice of dawn,Experience D,Polargeist,449502,1.63,5.47
destiny of nature,BurstStar,Theory of Everything,449683,10.95,4.57
Clubstep v2,IIINePtunEIII,Clubstep,450920,6.82,5.77
insane club,-,Clubstep,453613,1.15,5.12
Windings,Rabb2t,Clubstep,456678,7.66,4.36
element 1 H,PMCreatorArco,Polargeist,458402,8.75,6.67
disappear,iILoBeeIi,Clubstep,469297,5.73,4.00
Ice hell escape,Minemario,[TMM43] Ultimate Destruction,481354,11.16,5.64
HazardSector 5,ZenthicAlpha,Electroman Adventures,487908,7.84,5.21
Angel demon,kudabe,Theory of Everything,488134,9.94,6.42
ClownStep,-,Clubstep,492190,3.28,5.81
Gw north pole,-,Electroman Adventures,496763,5.30,4.90
Radioactive Demon,MrCheeseTigrr,Clubstep,497514,1.64,5.73
Demon Of Hell,-,xStep,504100,3.85,5.83
Nuclear Explode,-,Can't Let Go,511289,4.57,5.40
Natural step,TrueNature,Clubstep,511533,5.05,5.19
DevilStep,-,Clubstep,512006,5.62,5.80
pg clubstep,pg1004,Clubstep,513137,10.73,5.30
Pixel Parade,Jeyzor,Electroman Adventures,518113,2.04,5.69
Laboratory 1,-,Clubstep,520238,5.75,4.45
Alphabet X,BlackP2sFull,Electroman Adventures,523638,16.20,6.08
SIMG Factorial 8,LunarSimg,Dry Out,529119,9.15,5.89
OUTSTEEL,emiliax,Clubstep,533315,1.79,5.48
HazardSector Finale,ZenthicAlpha,Theory of Everything,533426,8.86,4.85
Maze Of Xbox,JiJangs,Clubstep,536159,6.28,6.88
season2 Lv3 Hell,IamXstep,Clubstep,541675,4.95,4.47
palace of legend,RealKamijo,Theory of Everything,541811,5.38,5.20
Clubdrop,TheRealDarnoc,Clubstep,541953,2.03,5.86
appear,iILoBeeIi,Electroman Adventures,542144,5.15,5.58
Way of the Darkness,IIINePtunEIII,Theory of Everything,553327,5.74,5.05
Demon Attack,Jeyzor,Polargeist,558292,4.15,5.82
Darkstep,-,Clubstep,561457,1.98,5.05
Watch in Chaos,zaRIKU,Clutterfunk,564682,10.14,3.78
demon mixed,RealOggY,Time Machine,566659,1.01,4.88
firefall,emiliax,Clubstep,574035,2.77,5.12
Ultra Theory,WizTicFX,Theory of Everything,577607,1.97,5.46
Hydroman Adventure,BlazeJcy,Electroman Adventures,579269,5.66,4.00
Element 53 I,Myinus,Electroman Adventures,580034,7.96,5.76
Ragnarok,ZenthicAlpha,Clubstep,584621,5.93,5.00
Forbidden,Jeyzor,Back on Track,589455,1.68,5.94
Neuron Connect,TrueNature,Theory of Everything,591845,4.59,6.63
GW Vatican,Lightbulbb,Clubstep,595482,6.62,5.03
Naraka Avici,ElEcmEtAl,Clubstep,596247,3.84,4.54
Demone hero,-,Theory of Everything,603196,6.14,4.62
XYZ Step Infinity,OrcaSN,xStep,608361,17.04,3.45
i coldrhydhmland i,GGtime,Stereo Madness,615520,6.88,4.69
Fantasy Adventure R,PIS,-Electroman adventures-,617045,7.17,6.00
frozen castle,BurstStar,Electroman Adventures,620758,8.67,6.00
Aftermath,ZenthicAlpha,Clutterfunk,622770,3.75,5.18
zStep,IIINePtunEIII,xStep,626543,6.06,6.22
Midnight Club Party,YunHaSeu14,Clubstep,628073,3.77,4.97
Gloomy Morning,-,Cycles,633893,1.96,5.62
Chaos Madness,PunkySoul,Stereo Madness,636918,4.63,7.13
Over Direction,ZenthicAlpha,Cycles,647226,2.00,5.42
Ratstep,-,Clubstep,651676,2.16,4.79
X Club,KeiAs,Clubstep,652062,9.71,5.61
Nether step,-,Clubstep,657255,1.95,5.20
clup adventure,AmoungPequeno,Clubstep,658311,4.21,4.67
Final Step,-,Clubstep,659434,4.78,5.92
unknown step,RealKamijo,Clubstep,663347,5.90,5.25
ClutterStep,Lyod,Clubstep,664867,2.87,4.96
twinkling world,Gelt,xStep,665521,3.00,6.12
Twilight Step,ZenthicAlpha,xStep,667148,1.64,5.54
pipe step,vismuth,Clubstep,671471,2.46,6.21
Restricted Area,ZenthicAlpha,Time Machine,682941,3.09,4.84
IcICleFacTOrY,T3KU,Electroman Adventures,683367,3.65,5.40
ShadowFunk,DaddePro,Clutterfunk,692918,6.43,4.83
ElectroDynamix,Myinus,Electroman Adventures,694459,2.96,4.96
Riot,BlazeJcy,Clutterfunk,697220,2.95,4.35
Phantom Step,ZenthicAlpha,Clubstep,697865,2.76,5.14
Twilight Step V2,BlackP2sFull,xStep,698322,15.52,4.78
Clubstep Demon,-,Clubstep,700046,4.77,5.00
Dark Park,Jeyzor,Clubstep,700238,1.80,5.78
Ripplez Adventures,Rabbitical,Electroman Adventures,700880,7.19,4.40
GW Russia,MaJackO,Operation: Evolution,707510,2.99,5.26
military,tunar98,Clutterfunk,709020,1.79,6.07
Crystal Cavern,ZenthicAlpha,Theory of Everything,709201,1.70,5.83
Active Interaction,ZenthicAlpha,Clutterfunk,714993,2.02,5.03
Lunar Interaction,ZenthicAlpha,Polargeist,721140,2.98,5.89
Clubstep EX,ZenthicAlpha,Clubstep,726062,9.33,4.36
13 Electroman Adv,Minemario,-Electroman adventures-,731493,10.19,4.55
Death Step,FunnyGame,Clubstep,735154,9.80,5.46
DarnoCant let go,BEkID1442,Can't Let Go,741635,6.60,4.35
Apologiest,MaJackO,Polargeist,743732,4.26,4.77
Thunder Interaction,ZenthicAlpha,Time Machine,744247,2.90,5.63
InsanityStep,Jabbagrullo,xStep,758361,5.00,4.00
Higgs,MaJackO,Base After Base,760070,4.14,5.31
Chains of Spacetime,MasK463,Clubstep,763864,2.90,4.17
DeathFunk,IIINePtunEIII,Clutterfunk,764038,5.64,5.28
Genesis,FunnyGame,Theory of Everything,776919,1.79,6.08
Demon Elite,J0Ni,Clubstep,783778,4.40,4.75
element 74 LA,Experience D,Clutterfunk,785536,2.11,5.63
Miniature,Rabbitical,Theory of Everything,790375,6.00,6.86
Forgotten Tea,MidNight2,xStep,793662,8.99,5.52
Triangle Out,MaJackO,Dry Out,796046,12.46,4.50
GREEN DEMON,-,Clutterfunk,803536,1.22,4.32
UnderFunk,ZenthicAlpha,Clutterfunk,808862,2.69,5.05
ICE Carbon Diablo X,-,Clubstep,814678,19.79,4.55
Silent Hill V2,MaJackO,[Silent Hill Dubstep]*,827581,6.83,5.19
Active Factory 2,YunHaSeu14,Clutterfunk,829373,1.96,5.46
space travel,-,Electrodynamix,836107,7.83,5.06
Deadmau5tep,ZenthicAlpha,Clubstep,837173,7.20,4.29
Electrodynamix v2,IIINePtunEIII,Electrodynamix,839175,6.61,6.17
Chaotic,MrCheeseTigrr,Clubstep,840397,2.08,5.71
crazy cpace 3,Luna Moonlit,Clubstep,846153,1.78,5.75
Stereodynamix,-,Electrodynamix,846763,2.03,5.30
seeker of demon,-,Stereo Madness,847961,1.04,4.99
Lights And Thunder,Lyod,Electrodynamix,848722,1.53,5.85
SpiralDynamix,ZenthicAlpha,Electrodynamix,859657,1.32,5.35
Digital Genesis,VENZA,Electroman Adventures,866033,4.92,5.42
Hahaha Insane Map,RealHaHaHa,Clutterfunk,873805,1.63,5.22
DarnocDynamix,TheRealDarnoc,Electrodynamix,874540,2.02,6.07
ddaysii,ThisIsPailyn,Clubstep,881590,5.75,5.50
Clockwork,-,Electrodynamix,890206,5.00,4.13
Three forts,vismuth,Dry Out,890580,2.79,7.53
electro ufo mix,-,Electrodynamix,897342,5.94,4.07
time pressure,AeonAir,Electrodynamix,897837,3.03,4.45
Flappy Weird,TheSuperbot,Clutterfunk,897987,3.26,2.93
MadLazor,ZenthicAlpha,Electrodynamix,912788,1.96,5.69
electronical escape,iILoBeeIi,Electrodynamix,912797,6.54,4.14
Castle,Jeyzor,Electrodynamix,915886,1.91,5.87
The JanuS Miracle,Megadere,How to Clutterfunk,918766,16.43,3.79
Neon Dynamics,-,Electrodynamix,919172,1.11,5.27
Dimension Machine,PunkySoul,Time Machine,923264,3.00,5.75
Primary Maze,-,Time Machine,928589,14.04,7.19
Future of Clubstep,Rob Buck,Theory of Everything,933759,2.14,5.69
noobas adventures,noobas,Clubstep,935157,6.58,6.13
Dark Matter,MaJackO,Electrodynamix,936973,9.20,4.06
XlectroDynamix,KeiAs,Electrodynamix,940558,7.74,5.75
Clubflow,-,Clubstep,941713,1.19,5.10
TheoryStep,Rek3dge,Theory of Everything,941962,4.05,4.89
ExtremeDynamix,ericys1,Electrodynamix,946003,2.90,4.94
CrepusculeDynamix,crepuscole,Electrodynamix,947301,2.08,6.30
neon sawblade,AeonAir,Theory of Everything,949673,2.24,4.83
Glittering,LunarSimg,Clubstep,957229,3.84,5.50
the nightmare road,Rob Buck,Dry Out,960890,3.36,5.32
Force Network,TrueNature,Clubstep,963572,2.12,5.41
DarnoClub Step,ZelLink,Clubstep,971914,11.12,3.19
11 Demon EA,-,Electroman Adventures,973476,3.15,5.79
ElectroDux,DaddePro,Electrodynamix,976871,7.83,4.40
AntiMatter,MaJackO,Cycles,979565,8.82,5.60
ClubStepin,Kerko,Clubstep,987052,7.79,6.00
Traffic Trauma,Rabb2t,Theory of Everything,989533,9.07,6.53
a  space trip,BurstStar,Clubstep,991220,11.46,4.82
Maleficent,kudabe,Back on Track,992985,3.01,6.30
ClubstepDynamix,ZenthicAlpha,Electrodynamix,994282,1.54,5.53
project EX,AeonAir,Cycles,998398,2.69,5.83
Demon Mix,Tec,Time Machine,999024,2.81,4.25
12 Clutterfunk,-,Clutterfunk,1018758,3.09,4.93
RobTuxDynamix,-,Electrodynamix,1023387,4.75,4.92
area nys15,-,xStep,1034085,8.67,5.20
M A T R I X,SH3RIFFO,Base After Base,1037675,3.06,6.08
FunkStep,AeonAir,Clubstep,1041005,2.70,5.41
dawns room,Experience D,xStep,1044292,2.15,5.89
endless wisdom,pg1004,Cycles,1048226,8.78,6.29
Treasure Mine,MaJackO,Dr. Phonics - Code Red,1051977,7.76,5.22
I wanna be the bosh,ruwkTl1,Polargeist,1052122,3.89,5.27
DeathGate,ZenthicAlpha,xStep,1057126,2.12,6.28
Supreme Lab A,Rob Buck,RIDE 01,1060305,3.60,5.81
EricysDynamix,ericys1,Electrodynamix,1061550,3.17,6.19
prohibited prison,vismuth,Time Machine,1072272,2.85,6.96
Clutterfunk v2,Snambs,Clutterfunk,1074870,3.89,5.63
JumpStep,-,Clubstep,1084112,3.66,4.84
Club Beatz,xJadztax,Dry Out,1095500,3.23,6.59
pg1004,Rabbitical,Clutterfunk,1099152,6.23,6.18
Accelerando,ViPriN,Electrodynamix,1104816,2.56,4.80
DemoNov,Lenov,Back on Track,1107696,8.00,4.50
Supreme Lab X,Rob Buck,xStep,1123217,5.05,5.10
absolute atom,-,Polargeist,1147673,10.00,5.67
SIMG Factorial 9,LunarSimg,Can't Let Go,1157720,12.22,5.93
Ultimate Drive,ZenthicAlpha,Clubstep,1168060,2.27,5.88
Velocissimo,DaddePro,Time Machine,1174452,5.20,6.00
The Castle,BurstStar,Clubstep,1177859,11.10,4.85
Nocturne,ViPriN,Recursive Glee,1178834,2.77,5.03
Asylum,Vermillion,xStep,1184402,4.43,5.48
Divisi,ViPriN,Clutterfunk,1193581,4.09,5.43
